Title,Company,Location,Description,Date,Salary,Qualification
Software Lead /Sr. Developer - Python Developer @Bangalore location,Vinove Software,Bangalore/Bengaluru,"Experience - 4+ years
Type : 6 -12 months Contract (extendable - subject to performance based)
Location: Bangalore
JOB SCOPE
Qualifications:
BE/BTech degree in CS/IT
3+ years experience as backend engineer.
Good knowledge in Python frameworks - Django, Flask, FastAPI, etc.
Hands on experience in building microservices applications on AWS/GCP/Azure.
Good understanding of platforms(Docker, AWS/Azure).
Must have a good understanding of Data Structures/Algorithms/Databases and other CS concepts.
Experience writing APIs and related technologies like REST, JSON, websockets, grpc etc.
Should be inquisitive enough picking up any language and frameworks based on need.

Roles & Responsibilities
Writing good quality code.
Work closely with the apps team to design and develop efficient APIs.
Design, Implement and Deploy scalable backend applications on cloud(AWS/Azure).", 2 days ago,6-13 Lacs P.A.,3 - 6 years
Software Lead /Sr. Developer - Python Developer @Bangalore location,Vinove Software,Bangalore/Bengaluru,"Experience - 4+ years
Type : 6 -12 months Contract (extendable - subject to performance based)
Location: Bangalore
JOB SCOPE
Qualifications:
BE/BTech degree in CS/IT
3+ years experience as backend engineer.
Good knowledge in Python frameworks - Django, Flask, FastAPI, etc.
Hands on experience in building microservices applications on AWS/GCP/Azure.
Good understanding of platforms(Docker, AWS/Azure).
Must have a good understanding of Data Structures/Algorithms/Databases and other CS concepts.
Experience writing APIs and related technologies like REST, JSON, websockets, grpc etc.
Should be inquisitive enough picking up any language and frameworks based on need.

Roles & Responsibilities
Writing good quality code.
Work closely with the apps team to design and develop efficient APIs.
Design, Implement and Deploy scalable backend applications on cloud(AWS/Azure).", 2 days ago,6-13 Lacs P.A.,3 - 6 years
Python Developer,VN2 Solutions Pvt Ltd,Bangalore/Bengaluru,"Job Description
Role -Python Trainee

HIRE TRAIN AND DEPLOY MODULE
3 Months of Training
Salary structure based on Deployment after training and
Qualification:-Any Graduate
Year of Passout-2020,19,18,17,16,15 only
only 2020 Pass out Candidate will be Considered
A Python Developer is a software engineer who specializes in the design, development, and implementation of software applications using the Python programming language. Python is a high-level, interpreted programming language used for a wide range of applications, including web development, scientific computing, data analysis, artificial intelligence, machine learning, and more.
The responsibilities of a Python Developer include:

Designing and developing software applications using Python programming language.
Collaborating with cross-functional teams, including software engineers, product managers, and quality assurance engineers, to identify software requirements and create technical designs.
Developing, testing, and debugging software applications using Python frameworks and libraries, such as Django, Flask, NumPy, Pandas, and more.
Analyzing and improving software performance by identifying and addressing software bugs and bottlenecks.
Writing clean, maintainable, and scalable code that is consistent with industry best practices and company coding standards.
Creating and maintaining technical documentation, including software design documents, user manuals, and API documentation.
Participating in code reviews, pair programming, and other collaborative development practices to ensure code quality and share knowledge with team members.
Staying up-to-date with the latest developments in Python and related technologies and incorporating new features and techniques into software applications.

Qualifications for a Python Developer:

Bachelor's or master's degree in computer science or a related field.
Strong proficiency in Python programming language and its associated libraries and frameworks.
Experience working with web development technologies, such as HTML, CSS, JavaScript, and web frameworks like Django or Flask.
Knowledge of software development principles, including software design patterns, algorithms, and data structures.
Experience with software development tools and processes, such as version control, continuous integration and deployment, and Agile methodologies.
Strong problem-solving skills and ability to work independently and in a team environment.
Excellent written and verbal communication skills.
Familiarity with cloud platforms, such as AWS or Azure, and containerization technologies, such as Docker, is a plus.

Overall, a Python Developer plays a crucial role in creating high-quality, scalable, and efficient software applications using the Python programming language.", 4 days ago,4-8 Lacs P.A.,0 years
Software Lead /Sr. Developer - Python Developer @Bangalore location,Vinove Software,Bangalore/Bengaluru,"Experience - 4+ years
Type : 6 -12 months Contract (extendable - subject to performance based)
Location: Bangalore
JOB SCOPE
Qualifications:
BE/BTech degree in CS/IT
3+ years experience as backend engineer.
Good knowledge in Python frameworks - Django, Flask, FastAPI, etc.
Hands on experience in building microservices applications on AWS/GCP/Azure.
Good understanding of platforms(Docker, AWS/Azure).
Must have a good understanding of Data Structures/Algorithms/Databases and other CS concepts.
Experience writing APIs and related technologies like REST, JSON, websockets, grpc etc.
Should be inquisitive enough picking up any language and frameworks based on need.

Roles & Responsibilities
Writing good quality code.
Work closely with the apps team to design and develop efficient APIs.
Design, Implement and Deploy scalable backend applications on cloud(AWS/Azure).", 2 days ago,6-13 Lacs P.A.,3 - 6 years
Python Developer,VN2 Solutions Pvt Ltd,Bangalore/Bengaluru,"Job Description
Role -Python Trainee

HIRE TRAIN AND DEPLOY MODULE
3 Months of Training
Salary structure based on Deployment after training and
Qualification:-Any Graduate
Year of Passout-2020,19,18,17,16,15 only
only 2020 Pass out Candidate will be Considered
A Python Developer is a software engineer who specializes in the design, development, and implementation of software applications using the Python programming language. Python is a high-level, interpreted programming language used for a wide range of applications, including web development, scientific computing, data analysis, artificial intelligence, machine learning, and more.
The responsibilities of a Python Developer include:

Designing and developing software applications using Python programming language.
Collaborating with cross-functional teams, including software engineers, product managers, and quality assurance engineers, to identify software requirements and create technical designs.
Developing, testing, and debugging software applications using Python frameworks and libraries, such as Django, Flask, NumPy, Pandas, and more.
Analyzing and improving software performance by identifying and addressing software bugs and bottlenecks.
Writing clean, maintainable, and scalable code that is consistent with industry best practices and company coding standards.
Creating and maintaining technical documentation, including software design documents, user manuals, and API documentation.
Participating in code reviews, pair programming, and other collaborative development practices to ensure code quality and share knowledge with team members.
Staying up-to-date with the latest developments in Python and related technologies and incorporating new features and techniques into software applications.

Qualifications for a Python Developer:

Bachelor's or master's degree in computer science or a related field.
Strong proficiency in Python programming language and its associated libraries and frameworks.
Experience working with web development technologies, such as HTML, CSS, JavaScript, and web frameworks like Django or Flask.
Knowledge of software development principles, including software design patterns, algorithms, and data structures.
Experience with software development tools and processes, such as version control, continuous integration and deployment, and Agile methodologies.
Strong problem-solving skills and ability to work independently and in a team environment.
Excellent written and verbal communication skills.
Familiarity with cloud platforms, such as AWS or Azure, and containerization technologies, such as Docker, is a plus.

Overall, a Python Developer plays a crucial role in creating high-quality, scalable, and efficient software applications using the Python programming language.", 4 days ago,4-8 Lacs P.A.,0 years
Python Developers,Tsinfo Technologies4.32 Reviews,Bangalore/Bengaluru,"We have Python developer job openings with TSinfo Technologies. Here we are looking out for people who can work in machine learning and artificial intelligence with Python.
Job responsibilities and skills
Responsible in product development using Python
Python programming experience
Knowledge in various libraries like Tkinter, Turtle, Django, Pandas, NumPy, Matplotlib, Seaborn, Scikit learn, PyTorch, TensorFlow, etc.
Attitude towards self-learning
Team player
Respect, honesty, passion, dedication towards work", 4 days ago,Not Disclosed,0 - 3 years
Software Lead /Sr. Developer - Python Developer @Bangalore location,Vinove Software,Bangalore/Bengaluru,"Experience - 4+ years
Type : 6 -12 months Contract (extendable - subject to performance based)
Location: Bangalore
JOB SCOPE
Qualifications:
BE/BTech degree in CS/IT
3+ years experience as backend engineer.
Good knowledge in Python frameworks - Django, Flask, FastAPI, etc.
Hands on experience in building microservices applications on AWS/GCP/Azure.
Good understanding of platforms(Docker, AWS/Azure).
Must have a good understanding of Data Structures/Algorithms/Databases and other CS concepts.
Experience writing APIs and related technologies like REST, JSON, websockets, grpc etc.
Should be inquisitive enough picking up any language and frameworks based on need.

Roles & Responsibilities
Writing good quality code.
Work closely with the apps team to design and develop efficient APIs.
Design, Implement and Deploy scalable backend applications on cloud(AWS/Azure).", 2 days ago,6-13 Lacs P.A.,3 - 6 years
Python Developer,VN2 Solutions Pvt Ltd,Bangalore/Bengaluru,"Job Description
Role -Python Trainee

HIRE TRAIN AND DEPLOY MODULE
3 Months of Training
Salary structure based on Deployment after training and
Qualification:-Any Graduate
Year of Passout-2020,19,18,17,16,15 only
only 2020 Pass out Candidate will be Considered
A Python Developer is a software engineer who specializes in the design, development, and implementation of software applications using the Python programming language. Python is a high-level, interpreted programming language used for a wide range of applications, including web development, scientific computing, data analysis, artificial intelligence, machine learning, and more.
The responsibilities of a Python Developer include:

Designing and developing software applications using Python programming language.
Collaborating with cross-functional teams, including software engineers, product managers, and quality assurance engineers, to identify software requirements and create technical designs.
Developing, testing, and debugging software applications using Python frameworks and libraries, such as Django, Flask, NumPy, Pandas, and more.
Analyzing and improving software performance by identifying and addressing software bugs and bottlenecks.
Writing clean, maintainable, and scalable code that is consistent with industry best practices and company coding standards.
Creating and maintaining technical documentation, including software design documents, user manuals, and API documentation.
Participating in code reviews, pair programming, and other collaborative development practices to ensure code quality and share knowledge with team members.
Staying up-to-date with the latest developments in Python and related technologies and incorporating new features and techniques into software applications.

Qualifications for a Python Developer:

Bachelor's or master's degree in computer science or a related field.
Strong proficiency in Python programming language and its associated libraries and frameworks.
Experience working with web development technologies, such as HTML, CSS, JavaScript, and web frameworks like Django or Flask.
Knowledge of software development principles, including software design patterns, algorithms, and data structures.
Experience with software development tools and processes, such as version control, continuous integration and deployment, and Agile methodologies.
Strong problem-solving skills and ability to work independently and in a team environment.
Excellent written and verbal communication skills.
Familiarity with cloud platforms, such as AWS or Azure, and containerization technologies, such as Docker, is a plus.

Overall, a Python Developer plays a crucial role in creating high-quality, scalable, and efficient software applications using the Python programming language.", 4 days ago,4-8 Lacs P.A.,0 years
Python Developers,Tsinfo Technologies4.32 Reviews,Bangalore/Bengaluru,"We have Python developer job openings with TSinfo Technologies. Here we are looking out for people who can work in machine learning and artificial intelligence with Python.
Job responsibilities and skills
Responsible in product development using Python
Python programming experience
Knowledge in various libraries like Tkinter, Turtle, Django, Pandas, NumPy, Matplotlib, Seaborn, Scikit learn, PyTorch, TensorFlow, etc.
Attitude towards self-learning
Team player
Respect, honesty, passion, dedication towards work", 4 days ago,Not Disclosed,0 - 3 years
Core Python Developer- Senior Engineer/Lead,Immense Consultancy Services,Hiring office located in Bangalore/Bengaluru,"Company, has a comprehensive suite of products, powered by the Time Intelligence Platform, to manage enterprise time, projects, people, costs, gross pay & profits. We support more than 1.5 million people across thousands of customers spanning 180+ countries around the globe.
As a Technical Lead, you will be accountable for the successful implementation of the requirements by the team. You will lead a team of senior & junior developers and provide leadership, guidance, training, and mentoring to the team to ensure all critical aspects of development issues are addressed and resolved appropriately. Develop team members to the fullest potential. Investigate and resolve complex technical issues with simple and elegant solutions.

Our technology stack is diverse and constantly evolving, currently contains:
Python
TypeScript / JavaScript/ React.js/ Nodejs
Node.js, including Express.js
Docker
PostgreSQL
Amazon Web Services (AWS) technologies, including, but not limited to, S3, EC2, RDS, Lambda, DynamoDB, SQS, SNS, ECS, Kinesis, CloudWatch
Apollo GraphQL
Terraform


We have:

An innovative, market-leading enterprise solution with a growing customer base
An exciting, nurturing culture that rewards a determined attitude of getting things done and problems solved
Clear goals with an opportunity to learn new things and explore a variety of avenues
Smart, well-connected global teams that work like a family with the sole aim to delight customers
An open-minded approach to continuous improvement of people, product and processes


You have:

6+ years of relevant development engineering experience and skills in building cloud-based SaaS applications
Must have experience in leading team of developers in an Agile product/project Methodology
Experience in partnering with product and program management teams
Deep hands-on technical expertise, specially using relevant open source technologies
Experience of Test Driven Development, Unit Test Frameworks
Must have strong experience in following technologies
Python


What youll do:

Works on complex assignments involving multiple problems
Resolves escalations & customer issues, root cause analysis, issue prevention and product improvements
Proposes and drives cross-product improvement plans / roadmaps
Extensive experience and very high skill level in Coding. Drives development of complex features through multiple layers/areas (front-end, back-end, concurrency). Improves coding and design practices across multiple teams. Debugs and troubleshoots issues from any product area in the customer's environment
Extensive knowledge and very high skill level in Software Design. Drives and oversees design architecture of complex features with multiple components", 1 day ago,13-23 Lacs P.A.,3 - 8 years
