Title,Company,Location,Description,Date,Salary,Qualification
Senior Software Engineer (PHP),BCG Attorney Search Pvt. Ltd.,Ahmedabad( Bodakdev ),"Job Description:-

We are looking for a highly skilled and experienced Senior Software Engineer with expertise in PHP/MYSQL development. As a Senior Software Engineer, you will be responsible for creating and implementing a wide range of web-based products using core PHP, MySQL, JavaScript, AJAX, JQuery, HTML, and Bootstrap. You will collaborate with a team of developers in a fast-paced environment to build complex web applications, maintain existing codebase, troubleshoot bugs, and add new features.

Responsibilities:-

Develop and implement web-based products using core PHP, MySQL, JavaScript, AJAX, JQuery, HTML, and Bootstrap.
Understand program flow charts and programming methods, and follow documentation procedures.
Collaborate with a team of developers to build complex web applications in a team-oriented environment.
Maintain and troubleshoot the existing codebase, identify and resolve bugs, and implement new features.
Utilize your strong knowledge of core PHP to deliver high-quality solutions.
Stay updated with the latest web development trends and technologies to ensure the use of best practices.
Work closely with cross-functional teams to gather requirements and translate them into technical specifications.

Skills & Experience:-

5 to 10 years of experience in PHP development, with a focus on core PHP.
Strong knowledge of front-end web technologies, including HTML, CSS, JavaScript, and JavaScript frameworks such as Angular or React.
Experience in designing, implementing, and optimizing RDBMS databases, particularly MySQL.
Familiarity with frameworks like Cake PHP and Laravel and CMS systems like WordPress is a plus.
Solid understanding of object-oriented programming concepts.
Bachelor's degree in Computer Science, Engineering, or related field. A graduate with an MCA and 5 to 10 years of programming experience will also be considered.
Excellent communication and analytical skills.
Proven ability to work independently and as part of a collaborative team.
Strong attention to detail and commitment to delivering high-quality code.
If you are a motivated and experienced PHP developer with a strong passion for web development and a desire to work on challenging projects, we would love to have you join our team as a Senior Software Engineer. Bring your expertise and contribute to the success of our web-based products while staying at the forefront of technological advancements.", 1 day ago,8-12 Lacs P.A.,5 - 10 years
Sr. PHP Developer,Samco,Mumbai,"Job Description:
- Developing and maintaining dynamic websites and web applications - Ensure the foolproof performance of the deliverable
- Coordinate with co-developers and other related departments.
- Experience own and work on end to end on an application.
- Set Milestones and deadlines.
- Fine-tuning and resolving performance issues - Mentor colleagues and code walk-through

Must have Skills:
PHP, OOP, Codeigniter, Jquery, MySQL", 7 days ago,8-12 Lacs P.A.,3 - 6 years
Php Developer,Vidyalankar Coaching Classes,Mumbai (All Areas),"Hi, were Vidyalankar one of India's most trusted education groups. We serve 25,000+ students annually and help them achieve their academic goals. Since our inception in 1960, weve recruited the best faculty and team members to help educate Indias youth. If youre passionate about education and want to have an outsized impact we want to talk to you.

Roles and Responsibilities
Write well designed, testable, efficient code by using best software development practices
Create website layout/user interface by using standard HTML/CSS practices
Integrate data from various back-end services and databases using PHP and WordPress
Gather and refine specifications and requirements based on technical needs
Create and maintain software documentation
Be responsible for maintaining, expanding, and scaling our site
Stay plugged into emerging technologies/industry trends and apply them into operations and activities
Cooperate with web designers to match visual design intent
Desired Candidate Profile
Proven working experience in web programming
Top-notch programming skills and in-depth knowledge of modern HTML/CSS
Familiarity with the following programming languages: PHP
A solid understanding of how web applications work including security, session management, and best development practices
Basic knowledge of Search Engine Optimization process
Graduation in IT/CS is preferred", 1 day ago,2.75-3.5 Lacs P.A.,0 - 5 years
Php Developer,Azova Dev,Ahmedabad,"Dear candidate,
Please Find Job Details Below:
Position: Software Engineer
Company: AZOVA DEVELOPMENT PRIVATE LTD
Web URL: https://www.azova.com/
Location: Ahmedabad, Thaltej

Job description:

Skills And Qualifications
Strong knowledge of PHP web frameworks {{such as Laravel, Yii, etc depending on your technology stack}}
Understanding the fully synchronous behavior of PHP
Understanding of MVC design patterns
Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3
Knowledge of object-oriented PHP programming
Understanding accessibility and security compliance {{Depending on the specific project}}
Strong knowledge of the common PHP or web server exploits and their solutions
Understanding fundamental design principles behind a scalable application
User authentication and authorization between multiple systems, servers, and environments


Interested candidates can share cv on hr@azovahealth.com", 1 day ago,Not Disclosed,0 - 4 years
Hiring For PHP Developer || Remote,Premium,"Hiring office located in Pune,Maharashtra","Who you are & what you’ll need to succeed.
• Baccalaureate degree or equivalent practical experience.
• 3+ years of experience developing websites and applications.
• Experience in PHP with frameworks of the likes of Laravel, Symfony, Code Igniter etc. (at least one of these is a must)
• Extra points for development experience with WordPress.
• Experience with SQL relational databases
• Understanding of client-side scripting frameworks (e.g. React.js) and/or Understanding of RESTful application development
• Experience with HTML, JavaScript, and CSS
• Experience with command line environments, Git and other development tools. Experience with Agile Scrum SDLC
• Experience with CI/CD Pipelines
• Experience with software containers and cloud infrastructure is a plus!", 1 day ago,Not Disclosed,0 years
Php Developer,upGrad,"Pune,Maharashtra","Sr. PHP Developer Responsibilities:

-Developing front end website architecture.
-Designing user interactions on web pages.
-Developing back-end website applications.
-Creating servers and databases for functionality.
-Ensuring cross-platform optimization for mobile phones.
-Ensuring responsiveness of applications.
-Working alongside graphic designers for web design features.
-Designing and developing APIs.
-Meeting both technical and consumer needs.

Sr. PHP Developer Skills Requirements:

-Bachelor's degree in computer science, information science, or similar.
-Previous 2-4 yrs. of experience working as a full stack developer
-Proficiency with fundamental front-end languages such as HTML, CSS, and JavaScript.
-Familiarity with JavaScript frameworks such as Angular JS, React.
-Knowledge of Node.js and framework available for it (such as express).
-Proficiency with server-side languages and frameworks such as PHP, CodeIgniter
-Familiarity with database technology such as MySQL.
-Strong organizational and project management skills.
-Excellent verbal communication skills.
-Good problem-solving skills.", 2 days ago,5-10 Lacs P.A.,2 - 7 years
PHP Developer,Adiyogi Technosoft,Jodhpur,"The candidate will closely work with the Senior Technical team on existing and new products.
Writing clean, bug-free code with TDD/BDD, ensuring coding quality meets industry standards.
Responsible for timely delivery, analyze and develop new features for existing applications.
Build efficient, testable, and reusable PHP modules.

Skills Requirements
Knowledge of PHP and more specifically Laravel and CodeIgnitor Framework
Knowledge of jQuery and HTML
Knowledge of MySQL and Query Optimization
Knowledge of GIT
Knowledge of implementing and working with all the latest APIs.
Must be humble and a team player.
having experience and in Node.js , Angular JS , React is a Plus.", 1 day ago,Not Disclosed,2 - 5 years
Hiring | PHP Developer | Delhi NCR,Aakash Educational Services (AESL),Delhi / NCR,"About Aakash BYJUs Technology Innovation Lab

Are you passionate about transforming the field of education as we know it?

The way education is imparted has been disrupted massively due to forces such as ed-tech digital revolution, the advancement in artificial intelligence technology and the pandemic. Given the rapid pace of transformation, the vision of the Technology Innovation Lab at Aakash BYJUs is to make the education of the future a reality. The Technology Innovation Lab aims to leverage state-of-the-art technologies to develop industry-defining bleeding-edge solutions for a student-first world-class hybrid learning experience. This involves -

Reimagining and conceptualizing how education will be imparted in the future in the omni-channel and immersive learning environment
Building data platforms such as Power BI dashboards to facilitate students, parents, teachers and the business
Creating applications to support the futuristic tech-enabled smart classrooms
Conceptualizing and developing mobile and web applications for seamless customer experience
Developing Internet of Things (IoT) driven integrations into applications to build futuristic learning experience
Leveraging Artificial Intelligence (AI) and Machine Learning (ML) to identity interventions to boost student performance

If this excites you, we might have the perfect opportunity for you in the worlds most valued ed-tech company!

Roles and Responsibilities

Knowledge of PHP web frameworks including Yii, Laravel, and CodeIgniter.
Knowledge of front-end technologies including CSS3, JavaScript, and HTML5.
Understanding of object-oriented PHP programming.
Previous experience creating scalable applications.
Proficient with code versioning tools including Git, Mercurial, CVS, and SVN.
Familiarity with SQL/NoSQL databases.
Good problem-solving skills.
Writing back-end code and building efficient PHP modules.
Developing back-end portals with an optimized database.
Troubleshooting application and code issues.
Integrating data storage solutions.
Responding to integration requests from front-end developers.
Finalizing back-end features and testing web applications.
Updating and altering application features to enhance performance.
Basic knowledge of AWS

Skills
Superior organization, communication, interpersonal and leadership skills.
Ownership and accountability attitude.
Data orientation and analytical ability.", 2 days ago,18-20 Lacs P.A.,3 - 6 years
PHP Developer,Evodigital Technologies,Chennai( Mylapore ),"As a PHP Developer, your primary focus would be developing and implementing modules and new features for our CRM solutions and Marketing automation platform. You are responsible for applying the best possible solution and following to proper Software Development Life Cycle (SDLC).

Required Experience, Skills, and Qualifications:
Strong knowledge of PHP web frameworks.
Knowledge of object-oriented programming in PHP.
Sound knowledge of SQL Queries in MySQL.
Good Understanding of front-end technologies, such as JavaScript, Jquery, HTML, CSS, and Ajax.
Experience in frameworks like Codeigniter/Laravel, and CakePHP would be an added advantage.
Good Knowledge of CMS platforms and working.
Must be a team player, possess a good attitude, and be self-disciplined
Strong written and oral communication skills.

Interested Candidates Can Apply & Send Their Resumes to 9384046763, 9384046764", 7 days ago,Not Disclosed,0 - 1 years
Php Developer,Mind Waveai Solutions,Hyderabad/Secunderabad,"Job description

We are looking for a PHP Developer responsible for managing back-end services and the interchange of data between the server and the users. Your primary focus will be the development of all server-side logic, definition and maintenance of the central database, and ensuring high performance and responsiveness to requests from the front-end. You will also be responsible for integrating the front-end elements built by your co-workers into the application. Therefore, a basic understanding of front-end technologies is necessary as well.
Should have good understanding of LOGISTICS in php.


Responsibilities:
Integration of user-facing elements developed by front-end developers
Build efficient, testable, and reusable PHP modules
Solve complex performance problems and architectural challenges
Integration of data storage solutions
Skills And Qualifications
Strong knowledge of core PHP and any one php framework(laravel plus)
Understanding the fully synchronous behavior of PHP
Understanding of MVC design patterns
Basic understanding of front-end technologies, such as JavaScript,jquery, HTML5, and CSS3
Knowledge of object oriented PHP programming
Understanding accessibility and security compliance
Strong knowledge of the common PHP or web server exploits and their solutions
Understanding fundamental design principles behind a scalable application
User authentication and authorization between multiple systems, servers, and environments
Integration of multiple data sources and databases into one system
Familiarity with limitations of PHP as a platform and its workarounds
Creating database schemas that represent and support business processes
Familiarity with MYSQL/NoSQL databases and their declarative query languages
Proficient understanding of code versioning tools, such as Git", 1 day ago,2-7 Lacs P.A.,3 - 6 years
PHP Developer,Integrity Technologies And Services,Pune,"Technical Skills Required:
Strong knowledge of PHP, MySQL, JavaScript, jQuery, AJAX, HTML5, CSS3.
Technically strong, good basics of PHP and OOPs concepts.
Additional skills such as Angular.js/ Ionic framework/ React.js/ Symfony, etc would
Responsibilities and Duties
Able to understand and execute the project requirements efficiently.
Write clean, well designed code.
Test and maintain the code and databases to ensure strong optimization and functionality.
Contribute in all the phases of the project development lifecycle.", 2 days ago,Not Disclosed,1 - 3 years
Php Developer,Manpowergroup Services India,"Mumbai (All Areas), andheri","Job Description:
We are looking to hire PHP Developer based out of Mumbai 
Position:  PHP Developer
Minimum Qualification: Graduate / Post Graduate 
Experience: 1+ years 
Location: Synergy Technology Services Pvt. Ltd. 701 Acropolis, Military Road, Marol Maroshi, Andheri (East), Mumbai - 400 059
About Company: Synergy Technology Services (STS) is a NASSCOM listed IT services company. STS provides services like application management services, cloud services, e-commerce, mobility, enterprise service management, Open source customization & Testing.
https://www.stspl.com/IT Solutions | IT Outsourcing & Consulting Services - Synergy Technology ServicesSynergy Technology Services is a leading provider of IT services, solutions and outsourcing, technology consulting, software development, enterprise applications development, support and maintenance, system integration services and solutions.www.stspl.com
Role Purpose: 
Write clean, well-designed code. 
 Carry out peer-to-peer code reviews. 
Create functional and technical specification as and when required. 
Troubleshoot, test, maintain and deploy the core of product software and databases. 
Contributing in all phases of development life cycle. 
Follow industry best practices or those set up by the organization. 
Should follow and adhere to organization-level and project-level processes and standards. 
Keep abreast with the latest industry trends and developments in your respective domain. 
If required, delegate tasks to subordinates, monitor to task completion, report status on a
regular basis to reporting head. 
Should be able to interact with clients, onsite or offsite, either verbally or written. 
Should be able to help and groom subordinates technically or functionally.
Skills: Database (MySQL, PostgreSQL),PHP with MySQL, 
JavaScript and Ajax is a must,oops ,
Front End skills - HTML5, CSS3,
Strong exposure on PHP and PHP MVC frameworks

Qualifications & Preferences: BE/B.TECH/BCA/B.SC

Working Days : 5 days (Monday to Friday)", 2 days ago,1-5 Lacs P.A.,1 - 6 years
Openings For Php Developer -Mumbai,Four Pillars Communication,Mumbai (All Areas),"Job description
Required Candidate profile
Strong understanding of PHP and MySQL
Understanding of PHP Frameworks
Application Development / Architecture Experience with PHP in LAMP environment
Knowledge of RESTful API's and formats(JSON, XML)
Ability to breakdown client problem and develop a software solution from system design to implementation
Ability to communicate well verbally and in writing with good time management skills
Good Knowledge of objects and MVC architecture
Role: Back End DeveloperIndustry Type: IT Services & ConsultingDepartment: Engineering - Software & QAEmployment Type: Full Time, PermanentRole Category: Software Development", 8 days ago,Not Disclosed,0 - 5 years
PHP Developer,Systart Software,Bhopal,"Conducting analysis of website and application requirements.
Writing back-end code and building efficient PHP modules.
Developing back-end portals with an optimized database.
Troubleshooting application and code issues.
Integrating data storage solutions.
Responding to integration requests from front-end developers.
Finalizing back-end features and testing web applications.
Updating and altering application features to enhance performance.
Troubleshoot, test and maintain the core product software and databases to ensure strong optimization and functionality
Contribute in all phases of the development lifecycle", 13 days ago,Not Disclosed,0 - 3 years
Php Developer,Rip-it Solutions,Chennai,"What youll do:
Work with developers to design algorithms and flowcharts
Produce clean, efficient code based on specifications
Integrate software components and third-party programs
Verify and deploy programs and systems
Troubleshoot, debug and upgrade existing software
Gather and evaluate user feedback
Recommend and execute improvements
Create technical documentation for reference and reporting
What youll need:
Proven work experience 0 2 yrs
Must be proficient in PHP, MySQL, Core Java, CSS, HTML, Javascript, Bootstrap, JSON
Experience with at least 1 MVC Framework, RESTful Services (Added advantage)
Familiarity with browser testing and debugging
In-depth understanding of the entire web development process (design, development and
deployment)
Understanding of layout aesthetics
An ability to perform well in a fast-paced environment
Should be able to research on emerging technologies and trends.
Should have strong analytical and troubleshooting skills.



Note: Only candidates within Tamilnadu will be considered for this position.", 14 days ago,Not Disclosed,0 - 2 years
